ID,采购,供应商,商品,应付总金额,收款金额,未付金额,付款日期
803,9/2采购春风文创鬼灭吧唧第5弹,咸鱼,Huy hi?u v? h?n thành春风文创鬼灭吧唧第5弹,10830000,0,10830000,2025-09-02
802,9/2采购【雷沃文创】鬼灭之刃水晶砖,咸鱼,Kimistu th?y tinh ver 2【雷沃文创】鬼灭之刃水晶砖,2394000,0,2394000,2025-09-02
801,9/2采购魔玩社-鬼灭之刃亚克力魔方,咸鱼,Di?t Qu? Kh?i L?p Ph??ng魔玩社-鬼灭之刃亚克力魔方,4560000,0,4560000,2025-09-02
800,9/2采购YAMI文创鬼灭之刃收藏卡第四弹,咸鱼,Diêt Qu? B?n ?ng TreYAMI文创鬼灭之刃收藏卡第四弹,12160000,0,12160000,2025-09-02
799,8/31采购骏卡鬼灭,咸鱼,Di?t Qu? B?n ??c Bi?t (+)骏卡鬼灭,4788000,0,4788000,2025-08-31
798,8/31采购初卡-「鬼灭之刃系列收藏卡」,咸鱼,Di?t Qu? Khu?t Ph?c M?t Tr?i初卡-「鬼灭之刃系列收藏卡」,5700000,0,5700000,2025-08-31
797,8/29采购向楠工作室《鬼灭之刃》高透亚克力水晶砖,咸鱼,Di?t Qu? Th? Th?y Tinh向楠工作室《鬼灭之刃》高透亚克力水晶砖,6080000,0,6080000,2025-08-29
796,8/29采购ET文创火影色纸,咸鱼,Naruto B?n Phong Th?ET文创火影色纸,3648000,0,3648000,2025-08-29
795,8/29采购玛卡文创“宿命终章·《鬼灭之刃无限城篇》,咸鱼,Di?t Qu? Phong Th? ?en V2玛卡文创“宿命终章·《鬼灭之刃无限城篇》,22800000,0,22800000,2025-08-29
794,8/29采购酷咔文创-【鬼灭之刃】第一弹高透亚克力卡砖,咸鱼,Di?t Qu? Th? MICA酷咔文创-【鬼灭之刃】第一弹高透亚克力卡砖,3040000,0,3040000,2025-08-29
793,8/27采购卡酷文创鬼灭色纸,咸鱼,Di?t Qu? Combo卡酷文创鬼灭色纸,4560000,0,4560000,2025-08-27
792,8/25采购柯南觅影包第3弹 2元包,咸鱼,Conan V3柯南觅影包第3弹 2元包,16793568,0,16793568,2025-08-25
791,8/22采购ET文创火影色纸,咸鱼,Naruto B?n Phong Th?ET文创火影色纸,3800000,0,3800000,2025-08-22
790,8/22采购西瓜社【鬼灭之刃】第二弹,咸鱼,Di?t Qu? Phong Th? Tr?ng V2西瓜社【鬼灭之刃】第二弹,11970000,0,11970000,2025-08-22
789,8/20采购玛卡文创“宿命终章·《鬼灭之刃无限城篇》,咸鱼,Di?t Qu? Phong Th? ?en V2玛卡文创“宿命终章·《鬼灭之刃无限城篇》,5852000,0,5852000,2025-08-20
788,8/19采购霞云之海鬼灭,咸鱼,Di?t Qu? Bi?n D??ng V? T?n 霞云之海鬼灭,4180000,0,4180000,2025-08-19
787,8/19采购乐宝文创鬼灭,咸鱼,Di?t Qu? V? ?i?u H?a Th?n乐宝文创鬼灭,4408000,0,4408000,2025-08-19
786,8/19采购皇卡 x 鬼灭《血月之契》篇决战无限城收藏卡,咸鱼,Di?t Qu? VHT ver 2皇卡 x 鬼灭《血月之契》篇决战无限城收藏卡,42180000,0,42180000,2025-08-19
785,8/19采购欧梦文创鬼灭,咸鱼,Di?t Qu? B?n Tr?ng欧梦文创鬼灭/,8184896,0,8184896,2025-08-19
784,8/15采购卡时代海贼王,咸鱼,H?i Trình M?ng ?o卡时代海贼王,6840000,0,6840000,2025-08-15
783,8/15采购周同学春日派对系列盲盒,咸鱼,周同学春日派对系列盲盒,0,0,0,2025-08-15
782,8/15采购MYCARD唛咔水彩派对随手包，SEVENTEEN版,咸鱼,MYCARD唛咔水彩派对随手包，SEVENTEEN版,0,0,0,2025-08-15
781,8/15采购MYCARD唛咔水彩派对随手包，BTS版,咸鱼,MYCARD唛咔水彩派对随手包，BTS版,0,0,0,2025-08-15
780,8/15采购MYCARD唛咔水彩派对随手包，女团MIX版,咸鱼,MYCARD唛咔水彩派对随手包，女团MIX版,0,0,0,2025-08-15
779,8/15采购遇见大师波士顿美术博物馆收藏卡-浅藏版,咸鱼,遇见大师波士顿美术博物馆收藏卡-浅藏版,0,0,0,2025-08-15
